0.25,0
0.5,0
0.75,0
1,0
1.25,0
1.5,0
1.75,0
2,0
2.25,0
2.5,0
2.75,0
3,0
3.25,0
3.5,0
3.75,0
4,0
4.25,0
4.5,0
4.75,0
5,0
5.25,0
5.5,0
5.75,0
6,0
6.25,0
6.5,0
6.75,0
7,0
7.25,0
7.5,0
7.75,0
8,0
8.25,0
8.5,0
8.75,0
9,0
9.25,0
9.5,0
9.75,0
10,0
10.25,0
10.5,0
10.75,0
11,0
11.25,0
11.5,0
11.75,0
12,0
12.25,0
12.5,0
12.75,0
13,0
13.25,0
13.5,0
13.75,0
14,0
14.25,0
14.5,0
14.75,0
15,0
15.25,0
15.5,0
15.75,0
16,0
16.25,0
16.5,0
16.75,0
17,0
17.25,0
17.5,0
17.75,0
18,0
18.25,0
18.5,0
18.75,0
19,0
19.25,0
19.5,0
19.75,0
20,0
20.25,0
20.5,0
20.75,0
21,0
21.25,0
21.5,0
21.75,0
22,0
22.25,0
22.5,0
22.75,0
23,0
23.25,0
23.5,0
23.75,0
24,0
24.25,0
24.5,0
24.75,0
25,0
25.25,0
25.5,0
25.75,0
26,0
26.25,0
26.5,0
26.75,0
27,0
27.25,0
27.5,0
27.75,0
28,0
28.25,0
28.5,0
28.75,0
29,0
29.25,0
29.5,0
29.75,0
0,0.25
0.25,0.25
0.5,0.25
0.75,0.25
1,0.25
1.25,0.25
1.5,0.25
1.75,0.25
2,0.25
2.25,0.25
2.5,0.25
2.75,0.25
3,0.25
3.25,0.25
3.5,0.25
3.75,0.25
4,0.25
4.25,0.25
4.5,0.25
4.75,0.25
5,0.25
5.25,0.25
5.5,0.25
5.75,0.25
6,0.25
6.25,0.25
6.5,0.25
6.75,0.25
7,0.25
7.25,0.25
7.5,0.25
7.75,0.25
8,0.25
8.25,0.25
8.5,0.25
8.75,0.25
9,0.25
9.25,0.25
9.5,0.25
9.75,0.25
10,0.25
10.25,0.25
10.5,0.25
10.75,0.25
11,0.25
11.25,0.25
11.5,0.25
11.75,0.25
12,0.25
12.25,0.25
12.5,0.25
12.75,0.25
13,0.25
13.25,0.25
13.5,0.25
13.75,0.25
14,0.25
14.25,0.25
14.5,0.25
14.75,0.25
15,0.25
15.25,0.25
15.5,0.25
15.75,0.25
16,0.25
16.25,0.25
16.5,0.25
16.75,0.25
17,0.25
17.25,0.25
17.5,0.25
17.75,0.25
18,0.25
18.25,0.25
18.5,0.25
18.75,0.25
19,0.25
19.25,0.25
19.5,0.25
19.75,0.25
20,0.25
20.25,0.25
20.5,0.25
20.75,0.25
21,0.25
21.25,0.25
21.5,0.25
21.75,0.25
22,0.25
22.25,0.25
22.5,0.25
22.75,0.25
23,0.25
23.25,0.25
23.5,0.25
23.75,0.25
24,0.25
24.25,0.25
24.5,0.25
24.75,0.25
25,0.25
25.25,0.25
25.5,0.25
25.75,0.25
26,0.25
26.25,0.25
26.5,0.25
26.75,0.25
27,0.25
27.25,0.25
27.5,0.25
27.75,0.25
28,0.25
28.25,0.25
28.5,0.25
28.75,0.25
29,0.25
29.25,0.25
29.5,0.25
29.75,0.25
30,0.25
0,0.5
0.25,0.5
0.5,0.5
0.75,0.5
1,0.5
1.25,0.5
1.5,0.5
1.75,0.5
2,0.5
2.25,0.5
2.5,0.5
2.75,0.5
3,0.5
3.25,0.5
3.5,0.5
3.75,0.5
4,0.5
4.25,0.5
4.5,0.5
4.75,0.5
5,0.5
5.25,0.5
5.5,0.5
5.75,0.5
6,0.5
6.25,0.5
6.5,0.5
6.75,0.5
7,0.5
7.25,0.5
7.5,0.5
7.75,0.5
8,0.5
8.25,0.5
8.5,0.5
8.75,0.5
9,0.5
9.25,0.5
9.5,0.5
9.75,0.5
10,0.5
10.25,0.5
10.5,0.5
10.75,0.5
11,0.5
11.25,0.5
11.5,0.5
11.75,0.5
12,0.5
12.25,0.5
12.5,0.5
12.75,0.5
13,0.5
13.25,0.5
13.5,0.5
13.75,0.5
14,0.5
14.25,0.5
14.5,0.5
14.75,0.5
15,0.5
15.25,0.5
15.5,0.5
15.75,0.5
16,0.5
16.25,0.5
16.5,0.5
16.75,0.5
17,0.5
17.25,0.5
17.5,0.5
17.75,0.5
18,0.5
